"age","sex","wing","weight","Source"
33,"Female",25.15,835.4,"Bijlsma 1999, Limosa 72"
34,"Female",25.81,850.4,"Bijlsma 1999, Limosa 72"
35,"Female",26.3,873.8,"Bijlsma 1999, Limosa 72"
36,"Female",27.43,869.5,"Bijlsma 1999, Limosa 72"
37,"Female",28.1,865.4,"Bijlsma 1999, Limosa 72"
38,"Female",28.48,864.2,"Bijlsma 1999, Limosa 72"
39,"Female",29.51,853,"Bijlsma 1999, Limosa 72"
40,"Female",30.14,861.8,"Bijlsma 1999, Limosa 72"
41,"Female",30.67,879.2,"Bijlsma 1999, Limosa 72"
42,"Female",31.26,898,"Bijlsma 1999, Limosa 72"
43,"Female",31.85,895,"Bijlsma 1999, Limosa 72"
44,"Female",32.45,887.8,"Bijlsma 1999, Limosa 72"
45,"Female",32.7,855,"Bijlsma 1999, Limosa 72"
46,"Female",33.28,888,"Bijlsma 1999, Limosa 72"
47,"Female",33.23,811.2,"Bijlsma 1999, Limosa 72"
48,"Female",33.6,875,"Bijlsma 1999, Limosa 72"
49,"Female",34.4,856.7,"Bijlsma 1999, Limosa 72"
50,"Female",35,825,"Bijlsma 1999, Limosa 72"
