Ring;Year;Sex;Treatment;Nest;Date.1;Date.2;days_resample;Age.1;Age.2;avg_age;Weight.1;Weight.2;Wing.1;Wing.2;growth_rate;body_condition.1;body_condition.2;delta_body_condition;Lprev.1;Lprev.2;Lbinom.1;Lbinom.2
3414754;2016;Male;Control;NA;05/06/2016;21/06/2016;16;15.47735073;32.59493102;24.03614087;410;655;8.9;24.3;15.3125;-25.09166541;-42.62969756;-17.53803215;2;2;1;1
3414771;2016;Male;Control;NA;10/06/2016;21/06/2016;11;23.67104753;34.69453752;29.18279253;690;770;16.9;25.7;7.272727273;87.2942849;57.729117;-29.5651679;1;1;1;1
3414790;2016;Male;Control;1804;12/06/2016;20/06/2016;8;20.48525776;28.42837463;24.45681619;685;735;13.6;21.2;6.25;139.0777812;73.04237312;-66.03540804;1;3;1;1
3414821;2016;Female;Control;NA;17/06/2016;01/07/2016;14;21.6414955;34.62333657;28.13241604;710;775;15.7;26.2;4.642857143;44.97454078;-51.11307559;-96.08761637;1;1;1;1
3414822;2016;Female;Control;NA;17/06/2016;01/07/2016;14;19.34553664;31.4541198;25.39982822;490;750;13.3;24.1;18.57142857;-122.8404012;-49.8320501;73.00835112;0;1;0;1
3414828;2016;Female;Control;NA;19/06/2016;01/07/2016;12;21.73822213;34.93976016;28.33899114;575;885;15.8;26.4;25.83333333;-92.02269522;56.49479416;148.5174894;0;NA;0;NA
3414832;2016;Male;Control;NA;21/06/2016;28/06/2016;7;31.59504123;41.64734735;36.62119429;590;615;23.6;29.9;3.571428571;-99.98961377;-136.8355291;-36.84591532;3;1;1;1
3417993;2018;Female;Control;342;26/05/2018;02/06/2018;7;13.57903598;21.35246986;17.46575292;405;635;8.1;15.4;32.85714286;-51.84831425;-23.95651962;27.89179464;0;0;0;0
3417994;2018;Female;Malarone;1374;26/05/2018;02/06/2018;7;20.87373405;28.58738987;24.73056196;625;810;14.9;22;26.42857143;-23.57393978;38.84652164;62.42046142;2;3;1;1
3417995;2018;Female;Control;243;26/05/2018;02/06/2018;7;11.35711878;20.96925365;16.16318622;410;620;6.6;15;30;17.57255594;-30.67805205;-48.25060799;0;0;0;0
3417996;2018;Female;Control;243;26/05/2018;02/06/2018;7;8.901107271;17.86867029;13.38488878;280;510;5.2;11.8;32.85714286;-37.43201134;-65.19830266;-27.76629133;0;0;0;0
3417998;2018;Female;Water;1697;26/05/2018;10/06/2018;15;13.44205202;28.20319993;20.82262598;435;710;8;21.7;18.33333333;-17.94064149;-56.83445931;-38.89381782;0;3;0;1
3417999;2018;Male;Water;1697;26/05/2018;10/06/2018;15;13.58625689;29.82952995;21.70789342;410;620;7.5;22.3;14;19.64330543;-55.17973486;-74.8230403;0;3;0;1
3418500;2018;Male;Control;1914;26/05/2018;02/06/2018;7;16.4466249;23.97271315;20.20966902;400;605;9.7;17.2;29.28571429;-57.58996718;-2.304919984;55.28504719;0;0;0;0
3418502;2018;Female;Control;1914;26/05/2018;02/06/2018;7;10.52715088;19.05573556;14.79144322;350;475;6.1;13;17.85714286;-17.64584655;-130.6637338;-113.0178872;0;0;0;0
3418503;2018;Female;Malarone;1959;26/05/2018;03/06/2018;8;16.39033598;24.36574504;20.37804051;570;815;10.4;18.4;30.625;34.52910777;100.0564562;65.52734841;0;0;0;0
3418504;2018;Male;Control;1489;26/05/2018;03/06/2018;8;10.67808401;20.0042124;15.34114821;305;590;5.7;13.1;35.625;-13.62400757;53.8684913;67.49249887;0;0;0;0
